istasyon_no,istasyon_adi,hizmet_sekli,marka,sarj_agi_isletmecisi,sarj_istasyonu_isletmecisi,adres,soket_bilgileri
ŞRJ/8126,Banban Petrol Bandırma,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,BANBAN PETROL ANONİM ŞİRKETİ,Ayyıldız Mahallesi Erdek Yolu Caddesi  No:46/A Bandırma / BALIKESİR,
ŞRJ/21899,Küçükler Petrol Ofisi Burhaniye,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,AGROBEN ZİRAAT SANAYİ TİCARET ANONİM ŞİRKETİ,Öğretmenler Mahallesi İzmir Asfaltı Üstü Caddesi  No:54/4 Burhaniye / BALIKESİR,
ŞRJ/22362,Eryaman Concept Çarşı DC-2,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,AGROBEN ZİRAAT SANAYİ TİCARET ANONİM ŞİRKETİ,Yavuzselim Mahallesi 11.cadde Caddesi  No:7 Etimesgut / ANKARA,
ŞRJ/17730,Bursa Teknik Üniversitesi Mimar Sinan Yerleşkesi Batı Kapısı,Özel,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,ŞARJMOBİL ELEKTRİKLİ ARAÇ ŞARJ SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Mimarsinan Mahallesi Eflak Caddesi  No:177 Yıldırım / BURSA,
ŞRJ/17731,Bursa Teknik Üniversitesi Mimar Sinan Yerleşkesi C Blok Otopark,Özel,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,ŞARJMOBİL ELEKTRİKLİ ARAÇ ŞARJ SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Mimarsinan Mahallesi Eflak Caddesi  No:177 Yıldırım / BURSA,
ŞRJ/17732,Bursa Teknik Üniversitesi Yıldırım Bayezid Yerleşkesi Spor Salonu Otoparkı,Özel,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,ŞARJMOBİL ELEKTRİKLİ ARAÇ ŞARJ SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Mimarsinan Mahallesi Eğitim Caddesi  No:85 Yıldırım / BURSA,
ŞRJ/20564,Çağdaş Şarj Tonya,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,ARNC İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Orta Mahallesi Senetli 1 Nolu Sokağı Tonya / TRABZON,
ŞRJ/22780,Akyıldız Park Evleri Sitesi,Özel,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,AKYILDIZ PARK EVLERİ SİTE YÖNETİCİLİĞİ,Armağanevler Mahallesi Dere Sokağı  No:99 A Ümraniye / İSTANBUL,
ŞRJ/2236,COTECH GARAGE,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Fevzi Çakmak Mahallesi Karatay / KONYA,
ŞRJ/6512,Barbaros Hayrettin Paşa Camii,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Levent Mahallesi Büyükdere Caddesi  No:166 Beşiktaş / İSTANBUL,
ŞRJ/7282,Kaplıkaya Cazibe Merkezi,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Siteler Mahallesi Selçukbey Caddesi Yıldırım / BURSA,
ŞRJ/12814,Pacific Akaryakıt Hendek Güney,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Hendek Mahallesi  Tem Otoyolu Üzeri 178. Km Hendek / SAKARYA,
ŞRJ/13545,Demir Country 2,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Kavaklı Mahallesi Yeşilyurt Caddesi  No:24/1 Beylikdüzü / İSTANBUL,
ŞRJ/13609,Kent Otel Karaman,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Fenari Mahallesi Kemal Kaynaş Caddesi  No:31 Merkez / KARAMAN,
ŞRJ/13777,Turyapı Boğaziçi Sarıyer Evleri,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Zekeriyaköy Mahallesi Yediveren Sokağı  No:46 Sarıyer / İSTANBUL,
ŞRJ/15496,Demir Country Migros,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Kavaklı Mahallesi Yeşilyurt Caddesi  No:17 Beylikdüzü / İSTANBUL,
ŞRJ/9410,Mutlukent Fitness-G,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Yenikent Mahallesi 2477 Sokağı Gebze / KOCAELİ,
ŞRJ/6511,Karaman Ticaret Odası,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Yunuskent Mahallesi  No:2 Merkez / KARAMAN,
ŞRJ/13379,Canoğlu Restoran ve Cafe,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,İsmailbey Mahallesi Kışla Caddesi  No:1  Kışla Parkı Merkez / KASTAMONU,
ŞRJ/13816,SsangYong Şahsuvaroğlu Tesisleri Mersin,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Menderes Mahallesi  No:789/A Mezitli / MERSİN,
ŞRJ/14202,Garden Planet Sitesi,Özel,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Yenişehir Mahallesi Cumhuriyet Sokağı  No:17/1 Pendik / İSTANBUL,
ŞRJ/12815,Pacific Akaryakıt Hendek Kuzey,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Hendek Mahallesi  Tem Otoyolu Üzeri 178. Km Hendek / SAKARYA,
ŞRJ/8939,Sultaşa Otel,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Eğriçam Mahallesi 22107 Sokağı  No:17 Yenişehir / MERSİN,
ŞRJ/18821,Forya Cadde 34,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Kuzeykent Mahallesi 31168 Sokağı  No:7 Yenişehir / MERSİN,
ŞRJ/10485,Akçahan Dinlenme Tesisi,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Muratlı Mahallesi Muratlı Sokağı Akçadağ / MALATYA,
ŞRJ/1880,WHITE ROSE FABRIKA,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Osb Mahallesi Mahallesi Merkez / KARAMAN,
ŞRJ/23256,Mut Olea Zeytinyağı Fabrikası,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Yapıntı Mahallesi Zeytinlik Sokağı  No:33/1 Mut / MERSİN,
ŞRJ/23415,Milli Gençlik Derneği,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Balgat Mahallesi 1419 Sokağı  No:12/1 Çankaya / ANKARA,
ŞRJ/2835,ÇAMLICA1,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Ferah Mahallesi Üsküdar / İSTANBUL,
ŞRJ/2837,ÇAMLICA 2,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Ferah Mahallesi Üsküdar / İSTANBUL,
ŞRJ/2838,ÇAMLICA 3,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Ferah Mahallesi Üsküdar / İSTANBUL,
ŞRJ/2839,ÇAMLICA 4,Halka Açık,POWERŞARJ,WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ,DORJET OTOMASYON SANAYİ ANONİM ŞİRKETİ,Ferah Mahallesi Üsküdar / İSTANBUL,
ŞRJ/2535,SEDAT ALTAY ZEYTİNYAĞ ZEYTİN ÜRÜNLERİ GIDA PETROL SAN. VE TİC. A.Ş.,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,SEDAT ALTAY ZEYTİN YAĞ ZEYTİN ÜRÜNLERİ GIDA PETROL TURİZM İNŞAAT PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Karaçam Mahallesi İstanbul Caddesi  No:141  Köy Civarı Bornova / İZMİR,
ŞRJ/2824,Hotel Bonvie,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Tekeler Mahallesi Çevre Yolu Caddesi Adapazarı / SAKARYA,
ŞRJ/2881,MUHTAR'IN YERİ PİDE VE KEBAP SALONU,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Ağaççılar Mahallesi Merkez / BOLU,
ŞRJ/2907,Atakale Restaurant,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Atatürk Mahallesi Pelitlik Sokağı Ünye / ORDU,
ŞRJ/3467,Sedat Altay Zeytinyağ ZeytinÜrünleriGıda Petrol San. Tic. Ltd. Şti,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,SEDAT ALTAY ZEYTİN YAĞ ZEYTİN ÜRÜNLERİ GIDA PETROL TURİZM İNŞAAT PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Bakır Mahallesi 42. Sokağı  No:2 /1 Kırkağaç / MANİSA,
ŞRJ/3468,Signature Alaçatı,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Alaçatı Mahallesi Fahrettin Altay Caddesi  No:58 Çeşme / İZMİR,
ŞRJ/3470,Nuvo Dragos,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Cevizli Mahallesi Tugay Yolu Sokağı  No:12 /D Maltepe / İSTANBUL,
ŞRJ/3680,Upcity,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Uğur Mumcu Mahallesi Şeyh Şamil Sokağı  No:15 Kartal / İSTANBUL,
ŞRJ/3771,G Marin,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Emek Mahallesi Gürsu Sokağı  No:4 Darıca / KOCAELİ,
ŞRJ/3782,Eray Kuru Temizleme,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Büyükesat Mahallesi Koza 1 Caddesi  No:125 /2 Çankaya / ANKARA,
ŞRJ/4000,Doris Petrol,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Karadenizliler Mahallesi Kd-130 Karayolu Caddesi  No:282 Başiskele / KOCAELİ,
ŞRJ/2052,Ritim İstanbul Konutları,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Cevizli Mahallesi Tansel Caddesi Zuhal Sokağı Maltepe / İSTANBUL,
ŞRJ/8561,Ritim İstanbul Konutları-60 Parsel,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Cevizli Mahallesi Zuhal Caddesi Fatma Çavuş Sokağı  No:44 Maltepe / İSTANBUL,
ŞRJ/3466,TRYP BY WYNDHAM,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Körfez Mahallesi Liman Caddesi  No:88 Başiskele / KOCAELİ,
ŞRJ/2858,PAKSU OTOPARK,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Mehmet Nesih Özmen Mahallesi Zafer Caddesi Güngören / İSTANBUL,
ŞRJ/3996,Optimum Metro,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Kurtköy Mahallesi Ulubatlı Sokağı  No:18 Pendik / İSTANBUL,
ŞRJ/10085,Özyıldırım Sitesi,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Korutürk Mahallesi Kasırga Sokağı  No:18 Balçova / İZMİR,
ŞRJ/15720,La Marin - Kartal,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Kordonboyu Mahallesi Tekel Caddesi Olgun Sokağı  No:3 Kartal / İSTANBUL,
ŞRJ/14569,The Lumos Deluxe Resort Hotel Alanya,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Kargıcık Mahallesi Gazipaşa Caddesi  No:21 Alanya / ANTALYA,
ŞRJ/16905,Vue Mer Daça Apartmanı,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Altıntepe Mahallesi Hüsniye Sokağı  No:2 Maltepe / İSTANBUL,
ŞRJ/17000,Morrian Bungalov,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Akçay Mahallesi Yeşiltepe Sokağı  No:3 Sapanca / SAKARYA,
ŞRJ/3778,Phoenix Sun Otel,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Gümbet Mahallesi Oramiral Kemal Kayacan Caddesi  No:2 Bodrum / MUĞLA,
ŞRJ/4013,Gensan,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Girne Mahallesi Irmaklar Sokağı  No:72 /B:17 Maltepe / İSTANBUL,
ŞRJ/3773,G Marin,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Emek Mahallesi Gürsu Sokağı  No:4 Darıca / KOCAELİ,
ŞRJ/3469,Nuvo Dragos,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Cevizli Mahallesi Tugay Yolu Sokağı  No:12 /C Maltepe / İSTANBUL,
ŞRJ/20266,Anatolia Evleri,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Kazım Karabekir Mahallesi  No:215/A İlkadım / SAMSUN,
ŞRJ/20166,Üçay Mühendislik Samsun Şubesi,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Toybelen Mahallesi 9035 Sokağı  No:1/9  Toybelen Sanayi Sitesi İlkadım / SAMSUN,
ŞRJ/20289,Nirvana 2,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Şahincili Mahallesi 614 Sokağı  No:19/A Altınordu / ORDU,
ŞRJ/20356,Eva Konutları,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Orta Mahallesi 220 Sokağı  No:49 Efeler / AYDIN,
ŞRJ/20630,Üçay Mühendislik Sakarya Şubesi,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Erenler Mahallesi 1244 Sokağı  No:8/B Erenler / SAKARYA,
ŞRJ/20869,Erşan Petrol,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Fatih Mahallesi Mimar Sinan Caddesi  No:1 Yunak / KONYA,
ŞRJ/20997,Yakutlar Residence,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Petroliş Mahallesi Tecerdağı Caddesi  No:35 Kartal / İSTANBUL,
ŞRJ/2994,Üçay Mühendislik Anadolu Şube,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Mecidiye Mahallesi Demokrasi Sokağı  No:261 /1 Sultanbeyli / İSTANBUL,
ŞRJ/21022,Liman Evleri,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Adabük Mahallesi  No:52/A-B Espiye / GİRESUN,
ŞRJ/21085,Volkan Park,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Yeşilevler Mahallesi 14. Sokağı  No:24 Çay / AFYONKARAHİSAR,
ŞRJ/21199,Söğütlü Belediyesi,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Orta Mahallesi Atatürk Caddesi  No:625 Söğütlü / SAKARYA,
ŞRJ/21200,Üçay Mühendislik Kocaeli Şubesi,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Sanayi Mahallesi Kumru Sokağı  No:24  Çarşı Yapı Sit. B Blok İzmit / KOCAELİ,
ŞRJ/21214,Darülaceze Arnavutköy,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Yassıören Mahallesi Eski Edirne Caddesi  No:1903 Arnavutköy / İSTANBUL,
ŞRJ/19643,Kaynarca Belediyesi Kapalı Otopark,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Merkez Mahallesi Şht. Yılmaz Vural Caddesi  No:37 Kaynarca / SAKARYA,
ŞRJ/21498,Artun Rezidans,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Fatih Mahallesi 5. Köksal Sokağı  No:15-19 /Artun Rezidans Sitesi Merkez / UŞAK,
ŞRJ/21850,Çınar Apartmanı,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Küçükkolpınar Mahallesi 643 Sokağı  No:5 Atakum / SAMSUN,
ŞRJ/21975,Beste Apartmanı,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Fenerbahçe Mahallesi Selahattin Pınar Sokağı  No:15 Kadıköy / İSTANBUL,
ŞRJ/20711,Realty World Şahinoğulları Gayrimenkul,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Akçaalan Mahallesi Serik Caddesi  No:238 Serik / ANTALYA,
ŞRJ/22120,Torul Pazaryeri,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Kaledibi Mahallesi Cumhuriyet Caddesi  Çarşı Torul / GÜMÜŞHANE,
ŞRJ/22568,Şelale Park,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Bahçeşehir 2. Kısım Mahallesi Rüzgar Sokağı  No:1 Esenyurt / İSTANBUL,
ŞRJ/22651,ENG Grup Petrol,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Halıdere Yeni Mahallesi  No:6 Gölcük / KOCAELİ,
ŞRJ/4007,ÖGEL KARDESLER OTOMOTİV,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Acısu Mahallesi Sapanca Yolu Cad. Caddesi  No:374 Kartepe / KOCAELİ,
ŞRJ/22839,Hilal Evleri 1,Özel,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Derebahçe Mahallesi Kafkas Caddesi  No:220 İlkadım / SAMSUN,
ŞRJ/22842,Hilal Evleri 2,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Derebahçe Mahallesi Kafkas Caddesi  No:220 İlkadım / SAMSUN,
ŞRJ/22845,Batı Sitesi,Halka Açık,Elaris Elektrikli Araç Şarj Hizmetleri,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,Güzelyalı Mahallesi Turkuaz Caddesi  No:6 Bulancak / GİRESUN,
